id,close
ID_323Sn2,0
ID_325SNW,6397.465467
ID_325uzE,12539.84729
ID_328qCx,0
ID_3293uJ,0
ID_329H37,9464.84024
ID_32DnK8,7248.019718
ID_32EeyA,19010.61476
ID_32H6TE,19593.56007
ID_32Hgdp,140271.627
ID_32KbB4,7062.061673
ID_32KwLh,7341.567988
ID_32NAZU,10249.99203
ID_32NG9u,8992.765836
ID_32QXZB,0
ID_32RtNw,9501.157507
ID_32SBbT,0
ID_32TcJo,0
ID_32US8U,9389.271583
ID_32WsPF,8299.03264
ID_32X2os,0
ID_32Xyik,0
ID_32bgoA,0
ID_32bikm,18841.00219
ID_32bpeN,7689.710553
ID_32c8Zn,8820.612644
ID_32d5fZ,7286.868088
ID_32jaED,10164.85456
ID_32kvcY,0
ID_32mkpU,7308.817676
ID_32mwC9,11070.01473
ID_32mwwo,7670.190317
ID_32nVpo,0
ID_32nz3p,8701.060434
ID_32qLEF,49092.65812
ID_32rEqz,59705.0829
ID_32sMQs,6955.153122
ID_32sfVZ,9768.961392
ID_32smMB,10275.92168
ID_32tXtL,0
ID_32u25Q,0
ID_32uBYt,60794.01649
ID_32uMYp,0
ID_32vFvY,7287.336619
ID_32vTy4,8952.471001
ID_32vcUs,10584.4614
ID_32wExS,13173.61922
ID_32zfUL,19231.85321
ID_332BDv,61108.74084
ID_332yWf,9828.433964
ID_333CCE,0
ID_333sYS,10668.52205
ID_334imr,14008.29302
ID_335TWX,59912.10798
ID_339paj,0
ID_33A6dY,10699.48527
ID_33BPhv,12693.15066
ID_33DjjL,14168.82321
ID_33EF4V,8314.901266
ID_33FCfj,7491.071265
ID_33FF28,0
ID_33Gvss,0
ID_33LbPQ,0
ID_33NpPs,18774.58862
ID_33NuA6,9387.343003
ID_33VU2z,11712.14821
ID_33VpGs,7007.801293
ID_33Y9VK,0
ID_33b6EH,0
ID_33bbrz,8196.266739
ID_33crLN,9130.964677
ID_33fKqA,7366.114108
ID_33fpRD,0
ID_33ft29,8618.043978
ID_33hXZG,8104.464499
ID_33kRQ8,7336.770285
ID_33oLY6,10266.92523
ID_33pZww,9036.786461
ID_33r6Hc,5410.762539
ID_33sLsm,11510.13703
ID_33tNvW,0
ID_33uKBm,11661.50782
ID_33umCa,6185.641523
ID_33vXX5,7556.705634
ID_33wapu,8370.679756
ID_33x2hK,0
ID_33zH7n,8222.640604
ID_342RWF,0
ID_343VGj,15703.17949
ID_346Uah,9866.968001
ID_347tWW,9530.346246
ID_349aUY,61509.79536
ID_34AAAY,6738.478296
ID_34AybD,0
ID_34BNbK,7190.275997
ID_34DTZE,0
ID_34DhKJ,0
ID_34Hvnz,10941.13126
ID_34J7HK,7174.789236
ID_34Ke3A,9585.987008
ID_34QTg4,58437.46959
ID_34StgT,0
ID_34UF4v,11739.06802
ID_34W6Qv,9951.56827
ID_34Xbdg,9429.738763
ID_34Z5ho,9760.394345
ID_34dh7R,10094.71364
ID_34dncV,56405.65756
ID_34eWTp,7657.570008
ID_34gP63,0
ID_34grNw,0
ID_34hqFx,10439.76884
ID_34kPkr,0
ID_34sDhx,0
ID_34uee6,0
ID_34wwLJ,0
ID_34xJTi,10135.27795
ID_34yHJn,10329.3933
ID_34zbjR,6245.785241
ID_34zhXV,8856.275831
ID_352Tyn,10423.04267
ID_354fop,0
ID_357Ddk,13135.8359
ID_358DHW,0
ID_358atp,0
ID_35AF6g,9998.026009
ID_35AjJh,8178.081252
ID_35Atjo,0
ID_35E6V6,8478.897353
ID_35EcCB,0
ID_35G5hy,9656.308132
ID_35J4j5,14106.16171
ID_35KouZ,0
ID_35Lddt,10749.60821
ID_35Lr6w,0
ID_35N6Bp,10631.97065
ID_35Nunz,12012.01028
ID_35Nws4,9399.802731
ID_35W3pV,0
ID_35bpiU,0
ID_35dcz6,8329.926605
ID_35ecAU,9491.232306
ID_35evKT,8283.819117
ID_35hQAd,11141.71211
ID_35i3pY,8822.809638
ID_35mGMc,9512.243542
ID_35nVSX,27372.98828
ID_35orCd,40556.10139
ID_35q27F,11600.73677
ID_35r94r,0
ID_35rrTJ,0
