,id,open
0,ID_323Sn2,0.0
3,ID_328qCx,0.0
4,ID_3293uJ,0.0
14,ID_32QXZB,0.0
16,ID_32SBbT,0.0
17,ID_32TcJo,0.0
20,ID_32X2os,0.0
21,ID_32Xyik,0.0
22,ID_32bgoA,0.0
28,ID_32kvcY,0.0
32,ID_32nVpo,0.0
39,ID_32tXtL,0.0
40,ID_32u25Q,0.0
42,ID_32uMYp,0.0
50,ID_333CCE,0.0
54,ID_339paj,0.0
60,ID_33FF28,0.0
61,ID_33Gvss,0.0
62,ID_33LbPQ,0.0
67,ID_33Y9VK,0.0
68,ID_33b6EH,0.0
72,ID_33fpRD,0.0
80,ID_33tNvW,0.0
85,ID_33x2hK,0.0
87,ID_342RWF,0.0
93,ID_34AybD,0.0
95,ID_34DTZE,0.0
96,ID_34DhKJ,0.0
101,ID_34StgT,0.0
109,ID_34gP63,0.0
110,ID_34grNw,0.0
112,ID_34kPkr,0.0
113,ID_34sDhx,0.0
114,ID_34uee6,0.0
115,ID_34wwLJ,0.0
121,ID_354fop,0.0
123,ID_358DHW,0.0
124,ID_358atp,0.0
127,ID_35Atjo,0.0
129,ID_35EcCB,0.0
132,ID_35KouZ,0.0
134,ID_35Lr6w,0.0
138,ID_35W3pV,0.0
139,ID_35bpiU,0.0
149,ID_35r94r,0.0
150,ID_35rrTJ,0.0
155,ID_35v7vu,0.0
165,ID_369eAJ,0.0
168,ID_36Dp6c,0.0
173,ID_36KY5P,0.0
180,ID_36U4Wh,0.0
181,ID_36U7hw,0.0
182,ID_36Uj3a,0.0
193,ID_36cA3R,0.0
195,ID_36hqP3,0.0
196,ID_36hvZX,0.0
197,ID_36iA84,0.0
200,ID_36jXuQ,0.0
203,ID_36kYF8,0.0
205,ID_36mBbF,0.0
206,ID_36n9Dm,0.0
208,ID_36nWVi,0.0
212,ID_36pbUS,0.0
219,ID_36ziZF,0.0
222,ID_373EgJ,0.0
224,ID_376EQn,0.0
226,ID_37Ai8w,0.0
238,ID_37RYm2,0.0
249,ID_37f4hF,0.0
254,ID_37hGfm,0.0
255,ID_37iq2r,0.0
265,ID_383By6,0.0
266,ID_385Q3L,0.0
268,ID_38Ba5R,0.0
269,ID_38CBU4,0.0
270,ID_38Da8p,0.0
274,ID_38Fidz,0.0
276,ID_38HWzL,0.0
281,ID_38SM3H,0.0
287,ID_38dw2E,0.0
289,ID_38hGrt,0.0
298,ID_38rXYJ,0.0
299,ID_38sG2h,0.0
305,ID_38zRbi,0.0
312,ID_39DcaQ,0.0
313,ID_39JsPx,0.0
315,ID_39MVFE,0.0
318,ID_39PMnk,0.0
319,ID_39VP9X,0.0
322,ID_39YtM4,0.0
325,ID_39czvp,0.0
327,ID_39dFxE,0.0
328,ID_39eJxL,0.0
333,ID_39k8gk,0.0
337,ID_39pDKr,0.0
341,ID_39tNks,0.0
350,ID_3A4wZZ,0.0
352,ID_3A93x9,0.0
360,ID_3AKjBm,0.0
361,ID_3APXXc,0.0
367,ID_3AaW5a,0.0
371,ID_3AdKbE,0.0
373,ID_3Ahgk3,0.0
375,ID_3AjwdN,0.0
377,ID_3AkSnL,0.0
386,ID_3AxZrC,0.0
393,ID_3B4w6Z,0.0
400,ID_3BFWhi,0.0
403,ID_3BGmbt,0.0
405,ID_3BJiLd,0.0
407,ID_3BKwpq,0.0
408,ID_3BL4DR,0.0
412,ID_3BNDTY,0.0
416,ID_3BVUxo,0.0
418,ID_3BYC5u,0.0
420,ID_3BaaZ5,0.0
421,ID_3Bbq7v,0.0
424,ID_3BeSuQ,0.0
426,ID_3BffTb,0.0
429,ID_3BnfhD,0.0
430,ID_3Bp8WX,0.0
433,ID_3Bpo9m,0.0
435,ID_3Bskun,0.0
437,ID_3BziLD,0.0
439,ID_3C2TV2,0.0
440,ID_3C4w9j,0.0
447,ID_3CKdQ6,0.0
448,ID_3CKvXo,0.0
453,ID_3CTJAh,0.0
460,ID_3Cc5Hz,0.0
462,ID_3CcZgw,0.0
466,ID_3Cetb9,0.0
469,ID_3CoeWu,0.0
474,ID_3CvZNz,0.0
484,ID_3DCiWT,0.0
486,ID_3DEdzq,0.0
487,ID_3DEegi,0.0
490,ID_3DJE3H,0.0
491,ID_3DJYd8,0.0
492,ID_3DQj7U,0.0
493,ID_3DRSq8,0.0
494,ID_3DSFX9,0.0
500,ID_3DfxRA,0.0
503,ID_3DiUTs,0.0
504,ID_3DiYmo,0.0
505,ID_3DiuQk,0.0
511,ID_3DpDTC,0.0
515,ID_3E6aRh,0.0
516,ID_3E7VKE,0.0
521,ID_3EKV8u,0.0
522,ID_3EKoPY,0.0
524,ID_3EP3LV,0.0
526,ID_3EQhxL,0.0
530,ID_3EVcNn,0.0
534,ID_3EZgC2,0.0
535,ID_3EaaHu,0.0
536,ID_3EdCXJ,0.0
538,ID_3Ee4Ef,0.0
540,ID_3EhoMk,0.0
546,ID_3EtTat,0.0
550,ID_3F5nrF,0.0
551,ID_3F6cJC,0.0
552,ID_3F7mZk,0.0
557,ID_3FEBC8,0.0
561,ID_3FMMPN,0.0
562,ID_3FNsmk,0.0
563,ID_3FQHNC,0.0
565,ID_3FUGh5,0.0
566,ID_3FUg8s,0.0
567,ID_3FZDpP,0.0
568,ID_3FZRGe,0.0
571,ID_3FjToQ,0.0
572,ID_3Fk67r,0.0
578,ID_3FpByU,0.0
580,ID_3Fw4eN,0.0
582,ID_3G3kuR,0.0
586,ID_3G7VLv,0.0
587,ID_3G8m7d,0.0
590,ID_3GFfrT,0.0
591,ID_3GJZu7,0.0
597,ID_3GNMm4,0.0
600,ID_3GPopv,0.0
